RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31
102001,0,United States,country,,1221.4034793940382,1228.0440678475074,1237.2174352804916,1246.468535599303,1255.9033417009948,1263.9800793570162,1270.0050479527638,1273.7044354345846,1275.7814799652972,1276.247260506383,1276.7235563956788,1277.1529457223378,1280.3569352132538,1285.3904678739389,1291.825808469684,1300.002714476535,1308.5103031784831,1316.9746102083857,1321.8651060318343,1324.0847551318648,1323.9641758403561,1322.4566606753365,1321.2456898532957,1320.4659122220319,1325.195441323987,1333.1393600747915,1345.099035109289,1355.1687072122045,1364.767964650329,1372.0588745756481,1377.070507724512,1378.6840486959948,1378.968010921589,1377.3605660013634,1377.2483874227307,1378.219065135307,1383.2159414135026,1390.8037393115148,1400.6584855027788,1410.579012059153,1419.1377727424663,1426.8687827396684,1432.3868246867967,1435.696108663639,1435.0893995439944,1434.3318729377186,1434.8899845028436,1436.994833786074,1441.3166666860266,1447.6022511434942,1458.228173528198,1468.7011823877374,1478.9651143780195,1487.1817039721261,1493.1665214379489,1496.264435048126,1496.0592841041123,1494.6134426499116,1493.5109383092167,1494.6953837468316,1499.9189518095955,1508.349247587564,1517.0438582787172,1518.0063685484076,1517.2310984059934,1517.692526056851,1523.037096455673,1524.4166221264209,1521.7335847576574,1518.7268035668083,1517.2838191193027,1519.5476076036002,1527.1598670339547,1539.3614467664759,1555.2399123571854,1575.1641377120748,1601.562407345878,1632.3520777102403,1664.7426878215877,1694.6670614044822,1719.007182318979,1734.1770338593494,1744.1220157642583,1753.8379912107544,1764.963917759597,1780.7089407419205,1797.0264252316178,1818.2441311131265,1839.7532359154086,1862.3636818011423,1881.3082960973213,1892.1772953242012,1894.7947583355506,1890.0759796695809,1883.905192855289,1880.7890372472284,1882.8298095412324,1889.6580504987032,1902.453046310776,1913.783730346644,1926.473772732289,1934.6081500127045,1944.2594425434136,1949.8650725607727,1951.3648418251998,1948.1416869222458,1942.6776651391458,1939.3121705985768,1942.2791845672741,1950.5308238273933,1962.078486745581,1973.7211001577289,1985.8024748622406,1997.0806125896409,2006.894483744063,2012.640491355554,2015.050542147693,2012.1617751371716,2009.3233983513323,2005.7485248391802,2010.224104980887,2018.4643819949151,2031.1501708266544,2041.080989733995,2049.045280088714
394913,1,"New York, NY",msa,NY,2351.0386551114725,2366.7251601567937,2386.019071706349,2406.777982202397,2422.674734089169,2439.024739464623,2449.6377604561803,2459.890427719412,2464.094159462651,2462.1733933182672,2452.9374114555158,2443.767429537282,2440.560361241566,2445.060639078984,2453.1834165734026,2466.4219325652716,2481.460895460964,2496.891412066135,2509.8622986883884,2513.9006868252945,2514.756576057283,2506.8212840363067,2501.7463698637735,2489.4079161748705,2485.8630449867974,2486.704034130557,2499.1398664340472,2514.4353333448826,2533.1721205981794,2548.6644566378363,2559.847653843992,2562.2038657039866,2560.0164968525623,2545.5614908354287,2529.6673342484473,2516.028021375478,2514.7992649829503,2521.9944209974556,2535.208691877595,2555.4761232454575,2574.5367807594353,2592.572606404187,2605.299144149143,2614.7812892772995,2615.6301019482894,2605.8923976887336,2594.4714389934597,2583.6929538686495,2583.5892399855165,2592.9434452821724,2609.4627422446283,2627.6504138170917,2649.011551028908,2671.3762316030025,2687.448348847301,2694.737574559881,2693.1202215410103,2688.1675395573207,2675.6853841128386,2667.6527301372635,2667.0898566912624,2680.633092783255,2690.6907151483306,2684.5424766787087,2667.355215155429,2643.543644021868,2617.64986587681,,,2470.776956394391,2437.73048495445,2424.394776507069,2422.7121977277116,2437.5822315975256,2460.065926308474,2489.4183874786117,2535.5155288538795,2592.0100072857535,2657.282684659772,2719.345891847062,2769.4782091355155,2804.3393436783044,2827.098797468385,2848.2601101317046,2872.5930197973594,2905.5927785438967,2945.278808880997,2988.203207833788,3041.357083323611,3097.0023385286363,3147.865044328678,3176.9312060342068,3181.1825486075413,3164.600656326458,3137.576078806057,3116.639807514853,3113.867204034616,3126.780158401275,3154.2083713594975,3187.529506381467,3224.610411730192,3256.694545211962,3280.5988688396146,3291.87642882069,3291.138438741367,3275.749639547732,3252.1360953806075,3235.8861628010554,3239.704280392309,3258.8884773179293,3289.8172455520066,3318.971095157511,3351.9678025106614,3380.983499566069,3399.304267762431,3405.641191791707,3395.674880125053,3381.4177962899716,3369.664088963486,3363.5718879758533,3373.7874382980713,3395.1501340064874,3428.026373987992,3460.9705888668805,3490.8615399296955
753899,2,"Los Angeles, CA",msa,CA,1805.9608209976,1818.2449929480351,1834.7835795262538,1849.062525342738,1864.026232303556,1875.7314630401356,1889.0236819665502,1899.3207941224043,1909.0125289814853,1913.9691040238567,1919.1111114081086,1925.2251586875598,1934.7926725498035,1946.285814111358,1958.2719697388404,1968.7358113680345,1982.4794472616977,1995.1287649993415,2008.3085214852827,2014.545057096589,2019.7998743234793,2020.692300812096,2022.5916708621442,2026.3862216884281,2040.474022577423,2057.7523907674595,2078.4497938477152,2092.210269423981,2105.236771328157,2114.4405911521885,2124.6590893693383,2130.090672155279,2135.3273247768493,2136.695423318626,2141.7152802394244,2146.34517611026,2157.4785847520047,2169.314790617879,2180.6510126025833,2189.771517277864,2197.3740952724675,2208.6982993383817,2219.0770883932933,2228.509160823498,2233.151802689109,2236.986223025017,2242.607897725412,2247.8799691791046,2253.653309770636,2257.5706679634077,2269.3054455121983,2279.7095384885333,2292.711124156017,2301.8542851675534,2310.58749873,2316.904894862612,2320.7089193997303,2323.3396831363716,2326.401774321131,2330.3716161252355,2337.142163067918,2341.655805070713,2341.1674165702602,2329.3134514597677,2318.491972302336,2312.3583430651,2314.154192056353,2313.9410908551436,2313.3370450545226,2314.06771170131,2315.1637213702393,2315.3859281386694,2324.276811010845,2334.877231630446,2349.940077540498,2361.5881215216373,2382.025958174507,2416.813767626126,2463.6239946544392,2517.6732844059948,2558.9257488547837,2584.9452983736332,2599.3068855647703,2617.4083908451676,2636.859234251829,2663.0091415292086,2687.1573142169673,2717.545914297857,2743.3247378800434,2767.904342274774,2788.49983076422,2803.3448883268816,2809.672221257642,2804.8586694211203,2797.427913091597,2789.931408718503,2788.89286855037,2794.1011569418397,2808.5945350767843,2820.3378414393483,2830.6526938535144,2838.224799908161,2851.072690182592,2862.4451138083846,2866.186525499244,2863.2182475262675,2851.4517189956055,2843.8069829023643,2847.5538649313053,2859.2357785720355,2875.045851791707,2885.1328104860695,2898.898774639577,2912.907662004688,2928.037971941893,2935.3857855726587,2940.742723700143,2938.244293743298,2935.043693562602,2927.335085024092,2948.9580819575826,2970.808035521904,2995.3988495567696,2993.5971039103647,2997.7760169161616
394463,3,"Chicago, IL",msa,IL,1462.643749999293,1469.8052072099135,1480.0511813399894,1489.5939655497357,1500.330145560176,1510.366913086802,1515.1512493207915,1517.9440923210382,1512.5890197716226,1505.1544653488597,1498.5583760464847,1498.814579795098,1507.0027958001367,1516.535823110129,1528.2803746087486,1536.236519070251,1544.861332031597,1553.1750788642532,1559.8488620219948,1563.478564274411,1556.2883037460804,1545.8749065498796,1533.550277959835,1527.8287017302769,1534.2616172546234,1548.8468216758813,1568.329563798883,1582.5908466809196,1594.7022219353769,1600.8005323685977,1602.6528189231997,1597.5357015877373,1591.3283773392238,1579.7055521490372,1573.0255365472563,1570.1279292231718,1579.1426304482432,1591.0260661723253,1605.0634737485689,1616.5918714634133,1627.2173441709335,1636.5410169269408,1641.0482484093434,1638.7348884902037,1628.031565454534,1616.4323887757357,1608.9334755685425,1609.7213921292616,1619.293765887352,1630.232134817229,1646.6151156457277,1660.0509187824741,1672.8409496373026,1680.002933505865,1682.94742592676,1682.2204416650216,1676.8005239505012,1670.077430462813,1662.9695693044296,1658.2675705561871,1667.1411877877877,1679.8857433511357,1695.5427490054717,1696.8964013928824,1695.4501233648934,1692.2600186359746,1691.4508556670967,1685.5332762278194,1670.7688306201062,1648.389250764255,1630.0853348655414,1622.3664904377235,1625.2479078889926,1637.1000877322654,1655.0201321275583,1681.9196063574273,1710.0585948758455,1736.3613101100307,1756.2731458622172,1770.042668524185,1778.1339963726707,1777.8010992858528,1777.6801184187198,1782.763255879838,1796.58523637168,1813.1967881560902,1834.0512781981545,1859.0857939219163,1886.1737617343715,1907.9939202482299,1924.900756307905,1932.8155681387843,1933.624337915468,1928.9711727546326,1923.518784375299,1924.0424795545375,1931.9349040415023,1947.3355128703004,1966.4172125222317,1985.9336596851342,2007.8192086465351,2027.151372185987,2040.2603068774954,2047.112370303822,2043.2467341866031,2034.4342814874165,2025.5836191874384,2026.8052518039315,2036.4472472813825,2052.198398145639,2068.790527816189,2090.2077444863794,2109.26405812483,2127.1459211764745,2137.038018326795,2141.267499151098,2140.7546645347165,2140.146261355772,2142.157276892279,2145.804422041158,2152.993455835125,2168.9661051789867,2188.5383872398897,2212.7054863148596,2233.8710197933833
394514,4,"Dallas, TX",msa,TX,1109.302514863866,1114.1844777167958,1122.0242641870486,1134.0705928634418,1144.0582028088756,1152.7988310908631,1159.3539794904575,1163.0847254765288,1164.6386926633907,1164.7603102089217,1165.5840217371936,1167.2915988192494,1168.7707649852755,1174.5631268234051,1182.254796746656,1193.4478332831059,1202.0121337027747,1210.1834979173357,1215.4112539674672,1219.0509854679929,1219.2427197021605,1219.697812001895,1219.4181609517905,1220.2266016214705,1225.0574008269507,1231.2976182121201,1244.055455161858,1253.6059390883968,1266.231808919589,1272.7091032037044,1277.7598091462035,1279.1592181983226,1277.8559865174782,1275.6455257396199,1277.1519158321819,1278.159324025503,1282.954921717766,1288.7807375863702,1296.1275102907487,1303.8398732521182,1309.1528608861606,1317.5942539816735,1321.6296737794928,1323.4077237383467,1320.455461729048,1322.5538858140317,1323.7848420583189,1326.5362706615408,1328.805978524441,1332.9861528101303,1344.5332395322991,1354.1330943394698,1363.8547868270844,1370.6660426408628,1374.0211312942824,1376.1527712378916,1375.1680726482198,1374.2765394877624,1372.0086960363603,1368.2855276569771,1370.8518776757999,1376.8858102612735,1385.727994103286,1386.5526242638728,1386.259799429313,1387.0893639822582,1391.2744590302807,1395.18471657761,1397.5676535352186,1400.2962948720806,1401.76481583663,1405.099385893808,1411.7784287711265,1423.1868955146274,1435.0380812318533,1453.989698323361,1478.7491365248477,1512.722959440495,1547.635253106468,1579.5082660416997,1603.3275857062222,1617.634167900784,1629.8685080755056,1639.5331585764882,1651.1627181345373,1662.6819884535992,1676.596173072085,1696.2528003954826,1719.5899394472888,1748.88408411103,1770.4948271684455,1778.4113789809874,1773.0537466708752,1758.9219548490835,1748.3938942847383,1739.9614092774998,1739.6787730227645,1742.1228106234867,1753.3092699970418,1757.6969459181337,1766.2224770729542,1769.5773167021437,1778.06976826576,1779.6582000573412,1775.4835644846444,1767.5769140198365,1759.4586902112649,1750.8501473561,1746.8141670405187,1744.4814005257679,1748.6422332987122,1753.827205027701,1762.0314066419703,1769.627702328228,1776.8358017217938,1780.9123506634212,1778.0657794463846,1771.5935369868405,1763.2659567245223,1756.132440689631,1754.1861340087755,1759.6982076828592,1770.254618475709,1780.7305405939153,1784.349349777457
394692,5,"Houston, TX",msa,TX,1236.7179267024874,1240.5686459326039,1247.319954474512,1257.2726428412013,1266.9697537134396,1275.3152154919233,1277.276745971156,1278.4296759360745,1275.9708999172037,1272.3247228802354,1268.587459134757,1265.5022835734896,1266.3822961650194,1268.58858824764,1274.9376589862763,1279.36474835227,1282.5075831958954,1283.5240105529267,1283.1252243305037,1280.4065825000037,1274.8885638355391,1270.9607663172503,1265.5658769957834,1263.32194994527,1264.149730372165,1272.0481312526845,1280.4030515254763,1285.5113125322907,1293.1172017996337,1294.9955566482763,1295.7763866596244,1290.8053778760386,1297.990953349385,1305.854939552234,1316.8662386891133,1321.9495829731488,1325.2804096142509,1331.0755436140369,1333.203484583708,1340.2494160849244,1342.8957309332484,1348.1144021806113,1348.2084574872003,1346.7532860995548,1342.8431846289864,1343.1069933061783,1345.467788894206,1345.231505628858,1345.8012512516236,1344.520696322891,1352.0679929888133,1357.45687514254,1366.4708282222823,1372.1247948611099,1375.800153885717,1375.169734654212,1372.0459076947911,1371.2359009377935,1371.1060163735474,1374.2106213035047,1377.0200232384836,1383.463066183883,1389.1836303712446,1386.4378744853414,1379.8377207173396,1375.0896890833012,1379.1300590306219,1384.3760857173868,1384.710505920793,1386.9949388094226,1388.667531334481,1389.465861641296,1391.882057538278,1393.2238034236502,1401.9865303209992,1415.0925741849665,1436.9136077547332,1464.508445449661,1490.3895408384544,1514.2335117786174,1527.7692758016688,1535.4683389946972,1539.323862604681,1543.7730751590566,1550.0318145833824,1560.2293264323187,1570.6702865550785,1584.2736352331983,1596.060717275402,1612.0444326580423,1624.1788589041305,1631.2151633977965,1629.0200957920913,1622.8548446505367,1615.5338353609927,1613.247497463256,1616.4805091379765,1624.2968454899303,1636.1429647841364,1642.6155983298502,1652.6467439037901,1660.2816874882794,1667.5378200834527,1668.8172564155977,1664.1859404342983,1658.4443375626277,1652.3323587835387,1649.6613903452085,1651.6523858689316,1656.6742458808687,1662.4327052463382,1670.8705222098392,1681.1944958204176,1691.330379337019,1697.9414823166433,1701.8087513823575,1703.6406725564657,1702.4743619480505,1697.9516766029417,1692.9300447288117,1691.7399612657666,1695.8588619497525,1705.5838525666409,1711.3591835297855,1713.7689613025266
395209,6,"Washington, DC",msa,VA,1737.1573282819077,1744.7017787399718,1755.917417901824,1764.730593188166,1773.7902239272125,1781.169541065116,1785.8298237068018,1783.2538290132777,1782.5914509725912,1777.0143947158929,1776.6340812080828,1772.2169590471015,1776.2937254297378,1779.5671420191857,1788.287687902747,1795.418702073704,1804.4441400766536,1810.6196975508938,1815.1391656340127,1816.654013110323,1812.7661947041936,1807.2611652828666,1801.5206738664783,1799.2742207969545,1804.7653130111482,1816.3128914882393,1829.6463289526396,1840.5260554268327,1847.2811712845476,1855.0841077059001,1858.0242827769514,1857.8512102891293,1855.4260886500533,1851.0401364561503,1845.1467375106147,1841.285319950382,1843.8329779158394,1850.8192504573435,1863.4814006501786,1875.557326873137,1886.924011475099,1895.6083241726064,1901.1912943760894,1905.8640921593264,1900.8784460018303,1898.7199433574995,1899.303841566673,1904.590245437039,1908.4400516933497,1914.016400263228,1923.5986648472353,1935.4236729479549,1947.1204559007692,1956.2165805541072,1961.7209687591167,1962.8593182029124,1962.9373000301746,1956.875138810603,1950.826030966125,1950.9413004295407,1959.6776924387277,1968.732830834805,1978.897100035782,1978.211583856127,1976.1657661759466,1969.315009256607,1967.5241327112178,1963.318654683221,1949.5795197420446,1932.077664528032,1911.6752234891355,1900.9825460559118,1902.7939118134598,1911.2333640111763,1921.988391381467,1937.2684717679915,1965.6200444690257,2003.7303802348147,2042.3801730913738,2073.7803150428545,2093.226673318768,2102.9707633852836,2103.577590384417,2103.363909508435,2104.9939017466277,2116.6322306174934,2135.744350490267,2160.3259400573893,2186.3589212000343,2212.6897931558174,2237.6355644293744,2249.5235381409293,2249.3368600582526,2232.7377760257464,2215.624298128789,2202.250805331621,2203.755774823077,2216.2250863616327,2240.4848405567454,2257.2777478680982,2275.856503463298,2287.6262652651553,2304.573633368503,2315.2675981463367,2318.3033335742593,2314.1301653307682,2306.1927655456793,2298.116343035746,2301.6786110645153,2315.6279637159964,2337.9340252704487,2358.5911875633633,2378.398700389117,2399.390272631656,2416.3484518762807,2425.349819497586,2425.395892460464,2415.4917561194493,2408.018042199766,2399.8283883290346,2411.2261396911294,2426.206338990102,2449.5717652151347,2462.2452282325185,2470.402880076539
394974,7,"Philadelphia, PA",msa,PA,1262.5036062003005,1269.2191886111011,1282.5295765502083,1289.4657473473842,1295.582118074506,1299.0099647094344,1301.3850558821694,1302.2568662048004,1301.3450796779418,1300.3143446269598,1295.9671592859643,1292.7133663526233,1294.0293390626907,1303.1109175104298,1312.981461145103,1322.2292248787837,1328.6075953960108,1335.9232102211813,1337.1315033912801,1336.5661361464824,1333.1465336484591,1331.4848639461177,1333.6669757856087,1334.156853573978,1338.6715545767574,1344.8322936710254,1356.8780583784394,1366.0320352176273,1371.915240684312,1372.8576399544343,1373.3900322105615,1373.352561076047,1372.8285268879797,1372.196987713038,1371.6087944787316,1374.6870357274886,1378.236939067218,1386.4352686556683,1397.5231247630331,1407.7710957722045,1416.6308490276067,1420.5861562925343,1421.5841709014564,1420.3456697795164,1418.2231041887364,1419.5489486745284,1423.3118686670985,1424.1600897709247,1428.857561540623,1435.6481468210955,1450.3186632903012,1462.1564232175583,1469.5452629158747,1477.1432514061014,1480.5984702324772,1480.4532302489645,1476.4715493314786,1475.037497043677,1475.2930703925458,1478.1354726287755,1481.8519184296972,1493.3814756484505,1504.7291617647447,1509.8652254747133,1510.4013239534113,1511.122320454608,1516.849023521063,1516.960795956415,1515.9364517803879,1514.6598448175287,1515.974043891281,1519.3516027836863,1525.194080340489,1533.6591333082301,1543.2197363210958,1559.33998872816,1581.8458721858397,1603.7556698507435,1623.2497446470536,1639.7676757342117,1648.6600612182444,1658.4138083216847,1666.59542274995,1683.523430633427,1694.966654000482,1708.1364789905394,1719.8998301776808,1734.5779829442624,1749.1800462065355,1764.675211141374,1777.4952607798973,1783.3774458619407,1783.4225915453387,1778.1294967649683,1775.802200199046,1772.583957060655,1777.0630838205145,1780.1923717739182,1793.0489449574106,1802.7387247894155,1815.092788095195,1820.0636825547645,1828.0765026967738,1833.9797523927068,1841.2950313684955,1843.2228261225202,1842.5371006576875,1839.6894569632423,1842.0578947122158,1850.6090151991566,1861.324844714699,1870.3521954242706,1879.0916558410415,1888.6218865889107,1897.7623004774434,1905.448118186789,1910.9185382070293,1916.084540329957,1919.2138990130559,1923.6836223702287,1928.4090661982088,1933.1268270191072,1935.072845268431,1936.2621382078928,1941.0434264309051
394856,8,"Miami, FL",msa,FL,1518.3466512562218,1524.465207103908,1529.7291574689318,1536.7289571090657,1545.8335037009988,1554.718920999259,1564.0138615847848,1571.6228528757983,1583.182401666926,1591.0969388296855,1600.9443952182667,1604.141073485796,1608.0256056176981,1609.1703454605176,1612.339498150563,1613.947820346297,1613.460195440832,1612.9625069184485,1614.888130765979,1617.8654897159265,1623.3927594803174,1626.5969062517597,1630.9240575064748,1630.2525501126834,1634.8340398652092,1638.3180025236531,1646.761697527238,1649.5760063249154,1652.0567243823084,1654.70307219664,1659.8859021042408,1667.3645582149422,1674.5462286410832,1680.1175189795695,1681.6776671767334,1682.4401664911297,1684.665268800038,1687.6974778864987,1691.8224932499047,1695.7564756891647,1700.43398244902,1705.530558458367,1711.7398451161805,1718.4237576263092,1723.8437939705775,1730.5989456964414,1737.4693296474409,1742.6340494819115,1742.2409588435382,1740.639656316806,1741.745629719622,1745.1748485501855,1750.3768461698878,1754.7456666316368,1760.0896200200189,1764.9439596012553,1771.7317350020871,1781.1026951206043,1791.0911472712173,1797.6114205534766,1800.046713059679,1803.3766117448035,1803.795933032076,1797.431796512621,1788.0726456949203,1786.9786105710803,1792.8710607101038,1798.40342323098,1804.2526126429811,1817.7831545999738,1836.884817026673,1853.282898294047,1868.7942612709173,1891.9634724937155,1921.2862806623668,1956.2377437281748,1997.2418851118948,,,2182.1359024985036,2241.749677142454,2286.212565395762,2332.3123415194887,2381.254488383197,2424.667924804036,2459.593358715574,2496.790069615227,2538.8746888968362,2579.0959218863504,2607.036312870509,2628.234539656569,2637.501091600487,2645.7523617506163,2648.4922865711574,2656.246634648565,2660.3863327580643,2660.9306741027585,2662.486108325499,2667.611200627956,2674.1569134068427,2681.5355777307113,2687.3841053442457,2693.1288736883193,2698.8739633976384,2703.7987243677417,2712.284699260805,2716.738245566355,2712.785910819772,2710.4871921427534,2714.138258272397,2724.1097750521117,2732.8247548962413,2736.4745186867676,2742.036531419148,2750.0505188228735,2759.801063306048,2769.2273573268308,2771.518954749409,2773.1582979614404,2770.810934815086,2772.9891277899305,2774.264587545538,2778.9652985162006,2780.896225241887,2780.968411875232
394347,9,"Atlanta, GA",msa,GA,1044.8942633798586,1050.4927673035272,1053.5731919795537,1063.6433220177678,1071.6294541112106,1083.491265976419,1089.827472835345,1093.2309296174926,1093.6971408641184,1094.255924687808,1095.2191255574726,1099.0292758699836,1103.2257915812213,1110.2596832812112,1117.8766152564426,1125.626912555749,1134.7766017510314,1143.6259900410764,1152.2208742327753,1156.35761571455,1156.8242297585284,1157.3260741518998,1157.6030878538254,1159.5725179290769,1163.6679103951476,1172.3878686239782,1184.5033503541606,1196.9634276057573,1209.2628105448825,1219.7174576634557,1228.5875390502156,1232.5405889784083,1234.7633339156516,1231.545644642979,1233.2911785357269,1234.803524806061,1242.4311779289362,1250.5734545089206,1262.2212346819358,1274.100517732037,1285.4318650704245,1294.4308187875977,1300.5230116847167,1303.3242211015665,1303.3913029080236,1309.4966551589678,1314.571817027573,1320.1077309277168,1325.105770458267,1333.0099822117556,1345.674511756678,1356.9603410428726,1367.4323783571408,1376.117926724254,1381.0316764434308,1385.4660560641264,1387.7335196189226,1386.91533492497,1384.1525014955253,1383.6600253162435,1388.5685700799397,1397.266864500514,1406.1051539464245,1409.5071824473644,1413.277311966035,1420.8929257839334,1436.5083485762934,1450.0838836905484,1459.4914248265172,1465.8071489058996,1471.721908342796,1478.7459971035867,1492.1244018289656,1510.1906303682183,1529.6345905373723,1552.5137959314445,1581.0762836922365,1620.8279128636323,1663.7075559684572,1707.0823139589984,1738.8783571074584,1758.1503897766959,1765.619942913329,1767.8355409314127,1770.8791259711527,1776.7268321685283,1789.6395172037135,1804.1084181607794,1824.5688179764575,1845.7886672134946,1869.9779328996153,1882.5075283843219,1884.6174390522544,1873.524197111686,1862.481618283796,1857.1312609996976,1855.696882829687,1860.3422441993027,1871.4236348324391,1879.3651715242468,1886.1644277263454,1887.0466806318648,1892.3789090643124,1892.631836941428,1890.0521033924113,1879.5936741413775,1866.45402213348,1856.209713561684,1858.4643939125267,1868.729660302942,1876.05572714946,1881.3730754999387,1887.6450252986463,1896.172322683678,1903.6960489714393,1904.9613582011466,1909.8158969557594,1906.0577898379383,1901.4306768527072,1893.2588808643811,1896.9227424567928,1910.1127339206591,1922.0492064042048,1929.5387180172836,1931.2621938461325
